STATEFIP,cases,STATEFIP,EMPLOY,count_profession,profession_variance,cases_variance
36,47560,36,5,18252,-5064.35294117647,-87740.7884615385
37,89694,37,-9,5824,-76862.9615384615,-45606.7884615385
37,89694,37,1,14175,5226.91489361702,-45606.7884615385
37,89694,37,2,8023,3371.95652173913,-45606.7884615385
37,89694,37,4,48741,33418.568627451,-45606.7884615385
37,89694,37,5,12931,-10385.3529411765,-45606.7884615385
38,10437,38,-9,4617,-78069.9615384615,-124863.788461538
38,10437,38,1,1487,-7461.08510638298,-124863.788461538
38,10437,38,2,1071,-3580.04347826087,-124863.788461538
38,10437,38,4,583,-14739.431372549,-124863.788461538
38,10437,38,5,2679,-20637.3529411765,-124863.788461538
39,92622,39,-9,40111,-42575.9615384615,-42678.7884615385
39,92622,39,1,11182,2233.91489361702,-42678.7884615385
39,92622,39,2,6302,1650.95652173913,-42678.7884615385
39,92622,39,4,13075,-2247.43137254902,-42678.7884615385
39,92622,39,5,21952,-1364.35294117647,-42678.7884615385
40,125410,40,-9,53523,-29163.9615384615,-9890.78846153847
40,125410,40,1,14747,5798.91489361702,-9890.78846153847
40,125410,40,2,7026,2374.95652173913,-9890.78846153847
40,125410,40,4,23284,7961.56862745098,-9890.78846153847
40,125410,40,5,26830,3513.64705882353,-9890.78846153847
41,183132,41,-9,132424,49737.0384615385,47831.2115384615
41,183132,41,1,8271,-677.08510638298,47831.2115384615
41,183132,41,2,6680,2028.95652173913,47831.2115384615
41,183132,41,4,13845,-1477.43137254902,47831.2115384615
41,183132,41,5,21912,-1404.35294117647,47831.2115384615
42,524876,42,-9,485998,403311.038461538,389575.211538462
42,524876,42,1,4275,-4673.08510638298,389575.211538462
42,524876,42,2,6050,1398.95652173913,389575.211538462
42,524876,42,4,28372,13049.568627451,389575.211538462
42,524876,42,5,181,-23135.3529411765,389575.211538462
44,28116,44,-9,8511,-74175.9615384615,-107184.788461538
44,28116,44,1,3157,-5791.08510638298,-107184.788461538
44,28116,44,2,1844,-2807.04347826087,-107184.788461538
44,28116,44,4,5013,-10309.431372549,-107184.788461538
44,28116,44,5,9591,-13725.3529411765,-107184.788461538
45,95160,45,-9,52919,-29767.9615384615,-40140.7884615385
45,95160,45,3,9467,2581.05263157895,-40140.7884615385
45,95160,45,4,7099,-8223.43137254902,-40140.7884615385
45,95160,45,5,25675,2358.64705882353,-40140.7884615385
46,13187,46,-9,5433,-77253.9615384615,-122113.788461538
46,13187,46,1,2691,-6257.08510638298,-122113.788461538
46,13187,46,2,1038,-3613.04347826087,-122113.788461538
46,13187,46,4,1617,-13705.431372549,-122113.788461538
46,13187,46,5,2408,-20908.3529411765,-122113.788461538
47,87211,47,-9,52773,-29913.9615384615,-48089.7884615385
47,87211,47,1,6725,-2223.08510638298,-48089.7884615385
47,87211,47,2,3528,-1123.04347826087,-48089.7884615385
47,87211,47,4,13212,-2110.43137254902,-48089.7884615385
47,87211,47,5,10973,-12343.3529411765,-48089.7884615385
48,455740,48,-9,214894,132207.038461538,320439.211538462
48,455740,48,3,76475,69589.0526315789,320439.211538462
48,455740,48,4,43695,28372.568627451,320439.211538462
48,455740,48,5,120676,97359.6470588235,320439.211538462
49,60351,49,-9,22808,-59878.9615384615,-74949.7884615385
49,60351,49,1,6225,-2723.08510638298,-74949.7884615385
49,60351,49,2,5280,628.95652173913,-74949.7884615385
49,60351,49,3,329,-6556.94736842105,-74949.7884615385
49,60351,49,4,4526,-10796.431372549,-74949.7884615385
49,60351,49,5,21183,-2133.35294117647,-74949.7884615385
50,25989,50,-9,25836,-56850.9615384615,-109311.788461538
50,25989,50,1,6,-8942.08510638298,-109311.788461538
50,25989,50,2,85,-4566.04347826087,-109311.788461538
50,25989,50,4,18,-15304.431372549,-109311.788461538
50,25989,50,5,44,-23272.3529411765,-109311.788461538
51,122409,51,-9,34393,-48293.9615384615,-12891.7884615385
51,122409,51,1,12761,3812.91489361702,-12891.7884615385
51,122409,51,2,10021,5369.95652173913,-12891.7884615385
51,122409,51,4,14928,-394.431372549019,-12891.7884615385
51,122409,51,5,50306,26989.6470588235,-12891.7884615385
53,305087,53,-9,244631,161944.038461538,169786.211538462
53,305087,53,1,5654,-3294.08510638298,169786.211538462
53,305087,53,2,6042,1390.95652173913,169786.211538462
53,305087,53,3,1495,-5390.94736842105,169786.211538462
53,305087,53,4,19952,4629.56862745098,169786.211538462
53,305087,53,5,27313,3996.64705882353,169786.211538462
54,7759,54,-9,2337,-80349.9615384615,-127541.788461538
54,7759,54,1,923,-8025.08510638298,-127541.788461538
54,7759,54,2,511,-4140.04347826087,-127541.788461538
54,7759,54,4,854,-14468.431372549,-127541.788461538
54,7759,54,5,3134,-20182.3529411765,-127541.788461538
55,68232,55,-9,47669,-35017.9615384615,-67068.7884615385
55,68232,55,1,2909,-6039.08510638298,-67068.7884615385
55,68232,55,2,2987,-1664.04347826087,-67068.7884615385
55,68232,55,3,139,-6746.94736842105,-67068.7884615385
55,68232,55,4,2285,-13037.431372549,-67068.7884615385
55,68232,55,5,12243,-11073.3529411765,-67068.7884615385
56,13303,56,-9,2815,-79871.9615384615,-121997.788461538
56,13303,56,1,3892,-5056.08510638298,-121997.788461538
56,13303,56,2,1522,-3129.04347826087,-121997.788461538
56,13303,56,4,1904,-13418.431372549,-121997.788461538
56,13303,56,5,3170,-20146.3529411765,-121997.788461538
72,3589,72,-9,2363,-80323.9615384615,-131711.788461538
72,3589,72,1,118,-8830.08510638298,-131711.788461538
72,3589,72,2,71,-4580.04347826087,-131711.788461538
72,3589,72,3,7,-6878.94736842105,-131711.788461538
72,3589,72,4,141,-15181.431372549,-131711.788461538
72,3589,72,5,889,-22427.3529411765,-131711.788461538
99,727,99,-9,290,-82396.9615384615,-134573.788461538
99,727,99,1,3,-8945.08510638298,-134573.788461538
99,727,99,2,23,-4628.04347826087,-134573.788461538
99,727,99,3,175,-6710.94736842105,-134573.788461538
99,727,99,4,138,-15184.431372549,-134573.788461538
99,727,99,5,98,-23218.3529411765,-134573.788461538
