STATEFIP,YEAR,COUNT(MH1),MH1
9,2016,442,5
9,2016,10414,6
9,2016,17083,7
9,2016,946,8
9,2016,1174,9
9,2016,429,10
9,2016,10864,11
9,2016,144,12
9,2016,3177,13
9,2017,18587,-9
9,2017,13845,1
9,2017,7845,2
9,2017,6327,3
9,2017,1829,4
9,2017,563,5
9,2017,8658,6
9,2017,18315,7
9,2017,1349,8
9,2017,1383,9
9,2017,460,10
9,2017,10980,11
9,2017,1668,12
9,2017,5321,13
9,2018,16062,-9
9,2018,13686,1
9,2018,8015,2
9,2018,6462,3
9,2018,2136,4
9,2018,471,5
9,2018,7913,6
9,2018,18331,7
9,2018,1414,8
9,2018,1492,9
9,2018,504,10
9,2018,10513,11
9,2018,1538,12
9,2018,5410,13
9,2019,48470,-9
9,2019,5250,1
9,2019,4452,2
9,2019,746,3
9,2019,182,4
9,2019,344,5
9,2019,7345,6
9,2019,13137,7
9,2019,112,8
9,2019,466,9
9,2019,437,10
9,2019,10268,11
9,2019,255,12
9,2019,2735,13
9,2020,45290,-9
9,2020,5279,1
9,2020,4121,2
9,2020,717,3
9,2020,142,4
9,2020,196,5
9,2020,6482,6
9,2020,11809,7
9,2020,103,8
9,2020,452,9
9,2020,348,10
9,2020,9341,11
9,2020,174,12
9,2020,2461,13
9,2021,46645,-9
9,2021,5255,1
9,2021,4378,2
9,2021,715,3
9,2021,138,4
9,2021,219,5
9,2021,6193,6
9,2021,11745,7
9,2021,106,8
9,2021,467,9
9,2021,312,10
9,2021,9089,11
9,2021,120,12
9,2021,2601,13
9,2022,50658,-9
9,2022,5730,1
9,2022,4815,2
9,2022,760,3
9,2022,147,4
9,2022,258,5
9,2022,6273,6
9,2022,12304,7
9,2022,110,8
9,2022,486,9
9,2022,317,10
9,2022,9158,11
9,2022,90,12
9,2022,2791,13
9,2023,21380,-9
9,2023,15397,1
9,2023,10224,2
9,2023,5690,3
9,2023,1732,4
9,2023,224,5
9,2023,6131,6
9,2023,16868,7
9,2023,734,8
9,2023,1255,9
9,2023,344,10
9,2023,9362,11
9,2023,15,12
9,2023,4586,13
10,2013,1082,-9
10,2013,937,1
10,2013,374,2
10,2013,570,3
10,2013,190,4
10,2013,21,5
10,2013,1719,6
10,2013,1723,7
10,2013,172,8
10,2013,26,9
10,2013,7,10
10,2013,1571,11
10,2013,447,12
10,2013,288,13
10,2014,973,-9
10,2014,1125,1
10,2014,357,2
10,2014,487,3
10,2014,196,4
10,2014,28,5
10,2014,1875,6
10,2014,1884,7
10,2014,148,8
10,2014,42,9
10,2014,13,10
10,2014,1825,11
10,2014,834,12
10,2014,278,13
10,2015,1090,-9
10,2015,1052,1
10,2015,233,2
10,2015,209,3
10,2015,171,4
10,2015,34,5
10,2015,1913,6
10,2015,1637,7
10,2015,184,8
10,2015,84,9
10,2015,7,10
10,2015,1833,11
10,2015,1022,12
10,2015,211,13
10,2016,977,-9
10,2016,682,1
10,2016,127,2
10,2016,230,3
10,2016,47,4
10,2016,46,5
10,2016,1199,6
10,2016,1241,7
10,2016,150,8
10,2016,47,9
10,2016,22,10
10,2016,1226,11
10,2016,1310,12
10,2016,152,13
10,2017,1953,-9
10,2017,937,1
10,2017,214,2
10,2017,367,3
10,2017,84,4
10,2017,32,5
10,2017,1255,6
10,2017,1446,7
10,2017,241,8
10,2017,48,9
10,2017,21,10
10,2017,1184,11
10,2017,1670,12
10,2017,126,13
10,2018,1087,-9
10,2018,612,1
10,2018,205,2
10,2018,254,3
10,2018,56,4
10,2018,26,5
10,2018,1489,6
10,2018,1925,7
10,2018,115,8
10,2018,26,9
10,2018,33,10
10,2018,1683,11
10,2018,2223,12
10,2018,155,13
10,2019,3565,-9
10,2019,799,1
10,2019,414,2
10,2019,362,3
10,2019,46,4
10,2019,30,5
10,2019,1586,6
10,2019,2484,7
10,2019,157,8
10,2019,53,9
10,2019,46,10
10,2019,1816,11
10,2019,2241,12
10,2019,433,13
10,2020,1671,-9
10,2020,637,1
10,2020,400,2
10,2020,283,3
10,2020,30,4
10,2020,32,5
10,2020,1632,6
10,2020,2849,7
10,2020,120,8
10,2020,47,9
10,2020,41,10
10,2020,1931,11
10,2020,2152,12
10,2020,405,13
10,2021,3117,-9
10,2021,1030,1
10,2021,538,2
10,2021,539,3
10,2021,76,4
10,2021,21,5
10,2021,1790,6
10,2021,3118,7
10,2021,240,8
10,2021,78,9
10,2021,40,10
10,2021,2091,11
10,2021,2227,12
10,2021,574,13
10,2022,4475,-9
10,2022,1038,1
10,2022,502,2
10,2022,532,3
10,2022,77,4
10,2022,19,5
10,2022,1746,6
10,2022,2790,7
10,2022,240,8
10,2022,75,9
10,2022,42,10
10,2022,1903,11
10,2022,2077,12
10,2022,681,13
10,2023,5251,-9
10,2023,1017,1
10,2023,536,2
10,2023,500,3
10,2023,67,4
10,2023,18,5
10,2023,1739,6
10,2023,2957,7
10,2023,240,8
10,2023,83,9
10,2023,53,10
10,2023,2003,11
10,2023,2053,12
10,2023,720,13
11,2014,2175,-9
11,2014,1212,1
11,2014,497,2
11,2014,1255,3
11,2014,203,4
11,2014,16,5
11,2014,3719,6
11,2014,9945,7
11,2014,178,8
11,2014,23,9
11,2014,30,10
11,2014,4896,11
11,2014,637,12
11,2014,315,13
11,2015,2111,-9
11,2015,1642,1
11,2015,592,2
11,2015,1473,3
11,2015,277,4
11,2015,27,5
11,2015,4272,6
11,2015,11014,7
11,2015,222,8
11,2015,27,9
11,2015,32,10
11,2015,5332,11
11,2015,1029,12
11,2015,481,13
11,2016,8831,-9
11,2016,1736,1
11,2016,585,2
11,2016,1586,3
11,2016,321,4
11,2016,28,5
11,2016,4307,6
11,2016,10699,7
11,2016,238,8
11,2016,29,9
11,2016,31,10
11,2016,5183,11
11,2016,925,12
11,2016,529,13
11,2017,7043,-9
11,2017,2651,1
11,2017,1147,2
11,2017,1945,3
11,2017,333,4
11,2017,21,5
11,2017,5118,6
11,2017,10148,7
11,2017,379,8
11,2017,20,9
11,2017,30,10
11,2017,5752,11
11,2017,458,12
11,2017,1623,13
11,2018,9730,-9
11,2018,2880,1
11,2018,1263,2
11,2018,2399,3
11,2018,410,4
11,2018,24,5
11,2018,6156,6
11,2018,12846,7
11,2018,494,8
11,2018,23,9
11,2018,38,10
11,2018,6670,11
11,2018,608,12
11,2018,2019,13
11,2019,8601,-9
11,2019,2935,1
11,2019,1327,2
11,2019,2253,3
11,2019,372,4
11,2019,28,5
11,2019,6174,6
11,2019,13117,7
11,2019,418,8
11,2019,50,9
11,2019,44,10
11,2019,6495,11
11,2019,1494,12
11,2019,1881,13
11,2020,15912,-9
11,2020,2997,1
11,2020,1196,2
11,2020,2022,3
11,2020,364,4
11,2020,30,5
11,2020,5635,6
11,2020,13430,7
11,2020,379,8
11,2020,35,9
11,2020,49,10
11,2020,6244,11
11,2020,1241,12
11,2020,1539,13
11,2021,30965,-9
11,2021,3582,1
11,2021,1456,2
11,2021,2129,3
11,2021,390,4
11,2021,32,5
11,2021,6091,6
11,2021,15394,7
11,2021,380,8
11,2021,42,9
11,2021,51,10
11,2021,6521,11
11,2021,1250,12
11,2021,1719,13
11,2022,13367,-9
11,2022,3697,1
11,2022,2010,2
11,2022,963,3
11,2022,110,4
11,2022,19,5
11,2022,4914,6
11,2022,9891,7
11,2022,217,8
11,2022,58,9
11,2022,64,10
11,2022,4253,11
11,2022,628,12
11,2022,1874,13
11,2023,11491,-9
11,2023,3731,1
11,2023,2278,2
11,2023,869,3
11,2023,90,4
11,2023,16,5
11,2023,4935,6
11,2023,11220,7
11,2023,213,8
11,2023,58,9
11,2023,51,10
11,2023,3978,11
11,2023,764,12
11,2023,1908,13
12,2013,22130,-9
12,2013,26189,1
12,2013,12925,2
12,2013,22589,3
12,2013,4002,4
12,2013,347,5
12,2013,52256,6
12,2013,69401,7
12,2013,3514,8
12,2013,546,9
12,2013,462,10
12,2013,41224,11
12,2013,1224,12
12,2013,3256,13
12,2014,68336,-9
12,2014,18589,1
12,2014,9593,2
12,2014,12187,3
12,2014,2106,4
12,2014,157,5
12,2014,38727,6
12,2014,49238,7
12,2014,1793,8
12,2014,369,9
12,2014,250,10
12,2014,29048,11
12,2014,817,12
12,2014,2302,13
12,2015,53235,-9
12,2015,21424,1
12,2015,11283,2
12,2015,12731,3
12,2015,2176,4
12,2015,183,5
12,2015,39892,6
12,2015,53391,7
12,2015,1828,8
12,2015,461,9
12,2015,242,10
12,2015,30180,11
12,2015,788,12
12,2015,2838,13
12,2016,35779,-9
12,2016,24090,1
12,2016,12984,2
12,2016,12562,3
12,2016,1973,4
12,2016,294,5
12,2016,32613,6
12,2016,55125,7
12,2016,1750,8
12,2016,499,9
12,2016,485,10
12,2016,29169,11
12,2016,1338,12
12,2016,5596,13
12,2017,32719,-9
12,2017,31329,1
12,2017,12942,2
12,2017,13859,3
12,2017,2221,4
12,2017,329,5
12,2017,25588,6
12,2017,50327,7
12,2017,1691,8
12,2017,543,9
12,2017,491,10
12,2017,29621,11
12,2017,814,12
12,2017,11284,13
12,2018,32609,-9
12,2018,26900,1
12,2018,14027,2
12,2018,13080,3
12,2018,1894,4
12,2018,327,5
12,2018,26119,6
12,2018,53054,7
12,2018,1368,8
12,2018,522,9
12,2018,515,10
12,2018,32962,11
12,2018,1171,12
12,2018,13820,13
12,2019,29746,-9
12,2019,28627,1
12,2019,14071,2
12,2019,10385,3
12,2019,1921,4
12,2019,318,5
12,2019,23087,6
12,2019,52239,7
12,2019,1278,8
12,2019,553,9
12,2019,436,10
12,2019,25758,11
12,2019,1091,12
12,2019,14566,13
12,2020,37988,-9
12,2020,42532,1
12,2020,20455,2
12,2020,13630,3
12,2020,2678,4
12,2020,406,5
12,2020,31329,6
12,2020,75167,7
12,2020,1803,8
12,2020,750,9
12,2020,666,10
12,2020,34452,11
12,2020,527,12
12,2020,19845,13
12,2022,58110,-9
12,2022,51207,1
12,2022,27600,2
12,2022,15328,3
12,2022,2844,4
12,2022,456,5
12,2022,36803,6
12,2022,87480,7
12,2022,2073,8
12,2022,1025,9
12,2022,783,10
12,2022,40268,11
12,2022,618,12
12,2022,21490,13
12,2023,57250,-9
12,2023,54305,1
12,2023,30639,2
12,2023,16799,3
12,2023,3043,4
12,2023,528,5
12,2023,39265,6
12,2023,90901,7
12,2023,2334,8
12,2023,1132,9
12,2023,889,10
12,2023,42705,11
12,2023,386,12
12,2023,23555,13
13,2020,4,-9
13,2020,11173,1
13,2020,9085,2
13,2020,6735,3
13,2020,542,4
13,2020,19,5
13,2020,21660,6
13,2020,33839,7
13,2020,834,8
13,2020,69,9
13,2020,333,10
13,2020,26903,11
13,2020,11377,12
13,2020,18088,13
13,2021,12,-9
13,2021,9960,1
13,2021,8829,2
13,2021,5473,3
